Number	Name	Socket	Cores	Frequency	Core	L2	L3	Scale	Power	Price
119044	AMD FX-Series FX-4300 BOX	Socket AM3+	4	3800	Vishera	4	4	32	95	6680
379791	AMD Ryzen 5 1600 AF BOX	Socket AM4	6	3200	Pinnacle Ridge	3	16	12	65	11290
281553	AMD Ryzen 5 2600 BOX	Socket AM4	6	3400	Pinnacle Ridge	3	16	12	65	11800
281555	AMD Ryzen 5 2600X BOX	Socket AM4	6	3600	Pinnacle Ridge	3	16	12	95	16250
324636	AMD Ryzen 5 3600 BOX	Socket AM4	6	3600	Matisse	3	32	7	65	16810
325232	AMD Ryzen 5 3600X BOX	Socket AM4	6	3800	Matisse	3	32	7	95	22580
370869	AMD Ryzen 5 5600X BOX	Socket AM4	6	3700	Vermeer	3	32	7	65	25900
325293	AMD Ryzen 7 3700X BOX	Socket AM4	8	3600	Matisse	4	32	7	65	29780
325294	AMD Ryzen 7 3800X BOX	Socket AM4	8	3900	Matisse	4	32	7	105	35800
325508	AMD Ryzen 9 3900X BOX	Socket AM4	12	3800	Matisse	6	64	7	105	45620
336926	Intel Celeron G4930 BOX	Socket 1151 v2	2	3200	Coffee Lake-S	0,5	2	14	54	8130
369378	Intel Celeron G5905 BOX	Socket 1200	2	3500	Comet Lake	0,5	4	14	58	6060
354581	Intel Core i3 - 10100 BOX	Socket 1200	4	3600	Comet Lake	1,5	6	14	65	15800
369379	Intel Core i3 - 10100F BOX	Socket 1200	4	3600	Comet Lake	1,5	6	14	65	12620
386739	Intel Core i3 - 10105 BOX	Socket 1200	4	3700	Comet Lake	1,5	6	14	65	15430
336753	Intel Core i3 - 9100 BOX	Socket 1151 v2	4	3600	Coffee Lake Refresh-S	1	6	14	65	14520
320179	Intel Core i3 - 9100F BOX	Socket 1151 v2	4	3600	Coffee Lake Refresh-S	1	6	14	65	11690
354305	Intel Core i5 - 10400 BOX	Socket 1200	6	2900	Comet Lake	1,5	12	14	65	18700
354572	Intel Core i5 - 10400F BOX	Socket 1200	6	2900	Comet Lake	1,5	12	14	65	14200
354396	Intel Core i5 - 10500 BOX	Socket 1200	6	3100	Comet Lake	1,5	12	14	65	18640
354584	Intel Core i5 - 10600 BOX	Socket 1200	6	3300	Comet Lake	1,5	12	14	65	20270
385231	Intel Core i5 - 11400 BOX	Socket 1200	6	2600	Rocket Lake-S	1	12	14	65	18110
385859	Intel Core i5 - 11400F BOX	Socket 1200	6	2600	Rocket Lake-S	1	12	14	65	17690
385230	Intel Core i5 - 11500 BOX	Socket 1200	6	2700	Rocket Lake-S	1	12	14	65	19300
241877	Intel Core i5 - 7400 BOX	Socket 1151	4	3000	Kaby Lake-S	1	6	14	65	16890
324860	Intel Core i5 - 9400 BOX	Socket 1151 v2	6	2900	Coffee Lake Refresh-S	1,5	9	14	65	19650
309539	Intel Core i5 - 9400F BOX	Socket 1151 v2	6	2900	Coffee Lake Refresh-S	1,5	9	14	65	16080
323118	Intel Core i5 - 9500F BOX	Socket 1151 v2	6	3000	Coffee Lake Refresh-S	1,5	9	14	65	16330
354470	Intel Core i7 - 10700 BOX	Socket 1200	8	2900	Comet Lake	1,5	16	14	65	27310
360990	Intel Core i7 - 10700F BOX	Socket 1200	8	2900	Comet Lake	1,5	16	14	65	24930
385227	Intel Core i7 - 11700 BOX	Socket 1200	8	2500	Rocket Lake-S	1,5	16	14	65	31020
385670	Intel Core i7 - 11700F BOX	Socket 1200	8	2500	Rocket Lake-S	1,5	16	14	65	30200
324152	Intel Core i7 - 9700 BOX	Socket 1151 v2	8	3000	Coffee Lake Refresh-S	1,5	12	14	65	25300
323116	Intel Core i7 - 9700F BOX	Socket 1151 v2	8	3000	Coffee Lake Refresh-S	1,5	12	14	65	23400
356306	Intel Core i9 - 10900 BOX	Socket 1200	10	2800	Comet Lake	2,5	20	14	65	35910
356307	Intel Core i9 - 10900F BOX	Socket 1200	10	2800	Comet Lake	2,5	20	14	65	33330
345192	Intel Core i9 - 10920X BOX	Socket 2066	12	3500	Cascade Lake-X	10	19,25	14	165	63390
385238	Intel Core i9 - 11900 BOX	Socket 1200	8	2500	Rocket Lake-S	1,5	16	14	65	40200
385655	Intel Core i9 - 11900F BOX	Socket 1200	8	2500	Rocket Lake-S	1,5	16	14	125	38710
243092	Intel Pentium G4560 BOX	Socket 1151	2	3500	Kaby Lake-S	0,5	3	14	54	8660
385653	Intel Pentium G6405 BOX	Socket 1200	2	4100	Comet Lake	0,5	4	14	58	9880
385676	Intel Pentium G6605 BOX	Socket 1200	2	4300	Comet Lake	0,5	4	14	58	9880
327227	Intel Pentium Gold G5420 BOX	Socket 1151 v2	2	3800	Coffee Lake-S	0,5	4	14	54	9300
360128	Intel Pentium Gold G6400 BOX	Socket 1200	2	4000	Comet Lake	0,5	4	14	58	7840
369357	Intel Pentium Gold G6500 BOX	Socket 1200	2	4100	Comet Lake	0,5	4	14	58	8660
369358	Intel Pentium Gold G6600 BOX	Socket 1200	2	4200	Comet Lake	0,5	4	14	58	9630
