Number	Name	CoreFr	BoostFreq	MemGb	MemFr	Bits	Price
355108	GeForce GT710 KFA2 1Gb (71GGF4DC00WK)	954	954	1	1600	64	4090
336861	GeForce GT710 Colorful 1Gb (GT710 NF 1GD3)	954	954	1	1333	64	4360
212054	GeForce GT710 Gigabyte 2Gb (GV-N710D3-2GL)	954	954	2	1800	64	4540
218579	GeForce GT710 Zotac Zone Edition 2Gb (ZT-71302-20L)	954	954	2	1600	64	4580
384743	GeForce GT710 Gigabyte 1Gb (GV-N710D5-1GL V2)	954	954	1	4200	64	4620
212055	GeForce GT710 MSI 1Gb (GT 710 1GD3H LP)	954	954	1	1600	64	4620
229278	GeForce GT710 Palit 2Gb OEM	954	954	2	1600	64	4640
260319	GeForce GT710 Gigabyte 2Gb (GV-N710D5-2GL)	954	954	2	5010	64	4810
374216	GeForce GT710 KFA2 2Gb (71GPF4HI00GK)	954	954	2	1600	64	4820
259546	GeForce GT710 ASUS 2Gb (GT710-SL-2GD5)	954	954	2	5012	64	4870
327550	GeForce GT710 Gigabyte 1Gb (GV-N710D5-1GL)	954	954	1	5010	64	4870
260075	GeForce GT710 ASUS 1Gb (GT710-SL-1GD5)	954	954	1	5012	32	4950
212056	GeForce GT710 MSI 2Gb (GT 710 2GD3H LP)	954	954	2	1600	64	4950
260076	GeForce GT710 ASUS 1Gb (GT710-SL-1GD5-BRK)	954	954	1	5012	32	4960
381753	GeForce GT710 ASUS 1Gb (GT710-SL-1GD5-DI)	954	954	1	5012	32	5010
262565	GeForce GT710 Gigabyte 2Gb (GV-N710D5SL-2GL)	954	954	2	5010	64	5050
219254	GeForce GT710 INNO3D 2Gb (N710-1SDV-E3BX)	954	954	2	1600	64	5070
212059	GeForce GT710 Palit 2Gb	954	954	2	1600	64	5110
329620	GeForce GT710 Gigabyte 2Gb (GV-N710D5-2GIL)	954	954	2	5010	64	5310
259547	GeForce GT710 ASUS 2Gb (GT710-SL-2GD5-BRK)	954	954	2	5012	64	5380
189800	GeForce GT730 MSI 2Gb (N730-2GD3V2)	700	700	2	1800	128	5590
380518	GeForce GT710 ASUS 2Gb (GT710-SL-2GD5-DI)	954	954	2	5012	32	5740
157112	GeForce GT730 Gigabyte 2Gb (GV-N730D5-2GI)	902	902	2	5000	64	6390
263889	GeForce GT730 Gigabyte 2Gb (GV-N730D5-2GL)	902	902	2	5000	64	7060
287679	GeForce GT1030 MSI 2Gb (GT 1030 2GD4 LP OC)	1189	1430	2	2100	64	7600
283698	GeForce GT1030 MSI 2Gb (GT 1030 AERO ITX 2GD4 OC)	1189	1430	2	2100	64	7610
166329	GeForce GT730 Zotac Zone 4Gb (ZT-71115-20L)	902	902	4	1600	64	7670
162516	GeForce GT730 MSI 4Gb (N730-4GD3)	750	750	4	1000	128	8120
283699	GeForce GT1030 MSI 2Gb (GT 1030 2GHD4 LP OC)	1189	1430	2	2100	64	8180
274062	GeForce GT1030 ASUS 2Gb (GT1030-2G-BRK)	1228	1506	2	6008	64	8270
281748	GeForce GT1030 Gigabyte 2Gb (GV-N1030D4-2GL)	1151	1417	2	2100	64	8480
282282	GeForce GT1030 Palit 2Gb (NEC103000646-1082F)	1151	1379	2	2100	64	8480
253668	GeForce GT1030 ASUS 2Gb (GT1030-SL-2G-BRK)	1228	1506	2	6008	64	8540
252196	GeForce GT1030 Palit Low Profile 2Gb (NE5103000646-1080F)	1227	1468	2	6000	64	9830
253669	GeForce GT1030 ASUS 2Gb (PH-GT1030-O2G)	1252	1531	2	6008	64	10170
