N	Name	CoreFr	BoostFr	MemGb	MemFr	Bits	Price
274062	GeForce GT1030 ASUS PCI-E 2048Mb (GT1030-2G-BRK)	1228	1506	2	6008	64	6490
253756	GeForce GT1030 Inno3D PCI-E 2048Mb (N1030-1SDV-E5BL)	1227	1468	2	6008	64	6550
336835	GeForce GT1030 Colorful PCI-E 2048Mb (GT1030 2G V3-V)	1227	1468	2	6000	64	6740
252286	GeForce GT1030 Palit PCI-E 2048Mb (NE5103000646-1080F) OEM	1227	1468	2	6000	64	6760
252196	GeForce GT1030 Palit PCI-E 2048Mb (NE5103000646-1080F)	1227	1468	2	6000	64	6800
341440	GeForce GT1030 MSI PCI-E 2048Mb (GT 1030 AERO ITX 2GD4 OCV1)	1189	1430	2	2100	64	6950
253668	GeForce GT1030 ASUS PCI-E 2048Mb (GT1030-SL-2G-BRK)	1228	1506	2	6008	64	7040
252691	GeForce GT1030 Gigabyte PCI-E 2048Mb (GV-N1030D5-2GL)	1227	1506	2	6008	64	7060
283698	GeForce GT1030 MSI PCI-E 2048Mb (GT 1030 AERO ITX 2GD4 OC)	1189	1430	2	2100	64	7060
283699	GeForce GT1030 MSI PCI-E 2048Mb (GT 1030 2GHD4 LP OC)	1189	1430	2	2100	64	7150
252195	GeForce GT1030 MSI PCI-E 2048Mb (GT 1030 AERO ITX 2G OC)	1265	1518	2	6008	64	7150
309386	GeForce GT1030 Zotac PCI-E 2048Mb (ZT-P10300E-10L)	1227	1468	2	6000	64	7430
252858	GeForce GT1030 Gigabyte PCI-E 2048Mb (GV-N1030SL-2GL)	1227	1506	2	6008	64	7540
254573	GeForce GT1030 Gigabyte PCI-E 2048Mb (GV-N1030OC-2GI)	1265	1544	2	6008	64	7840
253669	GeForce GT1030 ASUS PCI-E 2048Mb (PH-GT1030-O2G)	1252	1531	2	6008	64	8160
237379	GeForce GTX1050 Ti Zotac Mini PCI-E 4096Mb (ZT-P10510A-10L)	1303	1417	4	7000	128	11540
236255	GeForce GTX1050 Ti Palit StormX PCI-E 4096Mb (NE5105T018G1)	1290	1392	4	7000	128	11770
237971	GeForce GTX1050 Gigabyte PCI-E 2048Mb (GV-N1050D5-2GD)	1354	1493	2	7008	128	11940
245006	GeForce GTX1050 Gigabyte OC Low Profile PCI-E 2048Mb (GV-N1050OC-2GL)	1366	1506	2	7008	128	12260
244348	GeForce GTX1050 Ti Gigabyte Low Profile PCI-E 4096Mb (GV-N105TOC-4GL)	1303	1442	4	7008	128	12270
252688	GeForce GTX1050 Ti MSI PCI-E 4096Mb (GTX 1050 Ti AERO ITX 4G OCV1)	1341	1455	4	7008	128	12550
238796	GeForce GTX1050 Gigabyte WindForce 2X PCI-E 2048Mb (GV-N1050OC-2GD)	1379	1518	2	7008	128	12560
260513	GeForce GTX1050 Ti Inno3D 1-Slot Edition PCI-E 4096Mb (N105T2-1SDV-M5CM)	1290	1392	4	7000	128	12780
249225	GeForce GTX1050 Ti Zotac LP PCI-E 4096Mb (ZT-P10510E-10L)	1290	1392	4	7000	128	12870
238718	GeForce GTX1050 Ti Zotac OC Edition PCI-E 4096Mb (ZT-P10510B-10L)	1392	1506	4	7000	128	12870
326789	GeForce GTX1650 MSI PCI-E 4096Mb (GTX 1650 VENTUS XS 4G)	1665	1665	4	8002	128	13070
318115	GeForce GTX1650 Gigabyte PCI-E 4096Mb (GV-N1650IXOC-4GD)	1680	1680	4	8002	128	13280
237972	GeForce GTX1050 Ti Gigabyte PCI-E 4096Mb (GV-N105TD5-4GD)	1290	1430	4	7008	128	13320
287484	GeForce GTX1050 Ti MSI PCI-E 4096Mb (GTX 1050 TI 4GT OCV1)	1341	1455	4	7008	128	13490
347286	GeForce GTX1650 KFA2 Prodigy PCI-E 4096Mb (65SQH8DS21PK)	1485	1665	4	8000	128	13530
326388	GeForce GTX1650 MSI PCI-E 4096Mb (GTX 1650 4GT LP OC)	1695	1695	4	8000	128	13540
239253	GeForce GTX 1050 Ti MSI PCI-E 4096Mb (GTX 1050 Ti 4GT OC)	1341	1455	4	7008	128	13570
341444	GeForce GTX1650 Super Colorful PCI-E 4096Mb (GTX 1650 SUPER NB 4G-V)	1530	1725	4	12000	128	13710
318117	GeForce GTX1650 Gigabyte PCI-E 4096Mb (GV-N1650WF2OC-4GD)	1785	1785	4	8002	128	13820
