N	Name	Volume	Speed	Cache	Price
236109	1Tb SATA-III Seagate Barracuda (ST1000DM010)	1000	7200	64	3320
111465	1Tb SATA-III Western Digital Caviar Blue (WD10EZEX)	1000	7200	64	3370 
87388	1Tb SATA-III Toshiba P300 (HDWD110UZSVA)	1000	7200	64	3400 
197921	1Tb SATA-III Western Digital Blue (WD10EZRZ)	1000	5400	64	3500 
286063	1Tb SATA-III Toshiba V300 (HDWU110UZSVA)	1000	5700	64	4440
235666	1Tb SATA-III Seagate Ironwolf (ST1000VN002)	1000	5900	64	4560 
254295	1Tb SATA-III Western Digital Purple (WD10PURZ)	1000	5400	64	4600 
342740	2Tb SATA-III Western Digital Blue (WD20EZAZ)	2000	5400	256	4820 
224130	2Tb SATA-III Toshiba P300 (HDWD120EZSTA)	2000	7200	64	4900 
198658	2Tb SATA-III Toshiba P300 (HDWD120UZSVA)	2000	7200	64	5040 
290048	2Tb SATA-III Seagate Barracuda (ST2000DM008)	2000	7200	256	5210 
293841	2Tb SATA-III Seagate Barracuda (ST2000DM005)	2000	5400	256	5470 
198659	3Tb SATA-III Toshiba P300 (HDWD130UZSVA)	3000	7200	64	5820
169700	2Tb SATA-III Seagate Surveillance (ST2000VX003)	2000	5900	64	6010 
86261	2Tb SATA-III Seagate IronWolf (ST2000VN004)	2000	5900	64	6040 
286064	2Tb SATA-III Toshiba V300 (HDWU120UZSVA)	2000	5700	64	6230
141958	1Tb SATA-III Western Digital Black (WD1003FZEX)	1000	7200	64	6560
234806	1Tb SATA-III Western Digital (HGST) (Hitachi) Ultrastar 7K2 (1W10001)	1000	7200	128	6720 
120109	3Tb SATA-III Toshiba (DT01ACA300)	3000	7200	64	6760 
134020	1Tb SATA-III Toshiba (MG03ACA100)	1000	7200	64	6810 
279409	1Tb SATA-III Toshiba (MG04ACA100N)	1000	7200	128	6850 
238734	1Tb SATA-III Western Digital Gold (WD1005FBYZ)	1000	7200	128	6920 
245839	1Tb SATA-III Seagate Enterprise Capacity (ST1000NM0008)	1000	7200	128	7070 
269425	3Tb SATA-III Seagate Barracuda (ST3000DM007)	3000	5400	256	7110 
224298	3Tb SATA-III Toshiba P300 (HDWD130EZSTA)	3000	7200	64	7360 
324832	2Tb SATA-III Western Digital Red (WD20EFAX)	2000	5400	256	7380 
197968	3Tb SATA-III Western Digital Blue (WD30EZRZ)	3000	5400	64	7510 
286065	3Tb SATA-III Toshiba V300 (HDWU130UZSVA)	3000	5940	64	7870
340226	4Tb SATA-III Toshiba P300 (HDWD240UZSVA)	4000	5400	128	8040 
254296	3Tb SATA-III Western Digital Purple (WD30PURZ)	3000	5400	64	8540 
197967	4Tb SATA-III Western Digital Blue (WD40EZRZ)	4000	5400	64	8620 
252956	4Tb SATA-III Seagate Barracuda (ST4000DM004)	4000	5400	256	8630 
346258	1Tb SATA-III Seagate Exos 7E8 (ST1000NM000A)	1000	7200	256	8800 
235771	3Tb SATA-III Seagate IronWolf (ST3000VN007)	3000	5900	64	9110 
244415	2Tb SATA-III Seagate IronWolf Pro (ST2000NE0025)	2000	7200	128	9150 
224300	4Tb SATA-III Toshiba X300 (HDWE140UZSVA)	4000	7200	128	9190 
325143	2Tb SATA-III Seagate Exos 7E8 (ST2000NM001A)	2000	7200	256	9240 
153697	4Tb SATA-III Seagate Surveillance (ST4000VX000)	4000	5900	64	9290
245840	2Tb SATA-III Seagate Exos 7E2 (Enterprise Capacity) (ST2000NM0008)	2000	7200	128	9350
232824	2Tb SATA-III Western Digital (HGST) (Hitachi) Ultrastar 7K2 (1W10002)	2000	7200	128	9410 
208472	4Tb SATA-III Toshiba X300 (HDWE140EZSTA)	4000	7200	128	9500 
235941	4Tb SATA-III Seagate IronWolf (ST4000VN008)	4000	5900	64	9750
347544	3Tb SATA-III Western Digital Red (WD30EFAX)	3000	5400	256	9990 
237093	2Tb SATA-III Western Digital Gold (WD2005FBYZ)	2000	7200	128	10170 
287873	4Tb SATA-III Toshiba S300 Surveillance (HDWT140UZSVA)	4000	5400	128	10350 
245565	4Tb SATA-III Toshiba N300 (HDWQ140UZSVA) OEM	4000	7200	128	10520 
244247	4Tb SATA-III Toshiba N300 (HDWQ140EZSTA)	4000	7200	128	10610 
254416	4Tb SATA-III Western Digital Purple (WD40PURZ)	4000	5400	64	10870 
140237	2Tb SATA-III Western Digital Black (WD2003FZEX)	2000	7200	64	10880 
172469	4Tb SATA-III Toshiba (MG04ACA400E)	4000	7200	128	11010 
348840	4Tb SATA-III Western Digital Red (WD40EFAX)	4000	5400	256	11060 
86457	2Tb SATA-III Western Digital Red Pro (WD2002FFSX)	2000	7200	64	11450 
348715	6Tb SATA-III Toshiba P300 (HDWD260UZSVA)	6000	5400	128	12490 
292241	4Tb SATA-III Western Digital (HGST) (Hitachi) Ultrastar DC HC310 (0B36040)	4000	7200	256	13000 
333651	4Tb SATA-III Seagate Exos 7E8 (ST4000NM000A)	4000	7200	256	13090 
216803	6Tb SATA-III Toshiba X300 (HDWE160UZSVA)	6000	7200	128	13280 
327756	4Tb SATA-III Seagate Exos 7E8 (ST4000NM002A)	4000	7200	256	13290 
229691	4Tb SATA-III Seagate Enterprise Capacity (ST4000NM0035)	4000	7200	128	13350 
308313	4Tb SATA-III Western Digital (HGST) Ultrastar DC HC310 (0B35950)	4000	7200	256	13350 
200716	6Tb SATA-III Toshiba (HDWE160EZSTA)	6000	7200	128	13600 
273433	6Tb SATA-III Seagate Barracuda (ST6000DM003)	6000	5400	256	13940 
329359	6Tb SATA-III Toshiba (MG06ACA600E)	6000	7200	256	13940 
332488	4Tb SATA-III Western Digital Gold (WD4003FRYZ)	4000	7200	256	14390 
245566	6Tb SATA-III Toshiba N300 (HDWN160UZSVA) OEM	6000	7200	128	14600 
203792	6Tb SATA-III Toshiba (MG04ACA600E)	6000	7200	128	14810 
244248	6Tb SATA-III Toshiba N300 (HDWN160EZSTA)	6000	7200	128	15100 
282969	6Tb SATA-III Seagate SkyHawk (ST6000VX001)	6000	5400	256	15140 
344793	6Tb SATA-III Seagate IronWolf (ST6000VN001)	6000	5400	256	15150 
344481	6Tb SATA-III Seagate SkyHawk Surveillance (ST6000VX0003)	6000	5900	256	15200 
325372	6Tb SATA-III Seagate Exos 7E8 (ST6000NM021A)	6000	7200	256	15400 
291824	6Tb SATA-III Western Digital (HGST) (Hitachi) Ultrastar 7K6 (0B36039)	6000	7200	256	15680 
331694	4Tb SATA-III Seagate IronWolf Pro (ST4000NE001)	4000	7200	128	15790 
312555	6Tb SATA-III Western Digital Blue (WD60EZAZ)	6000	5400	256	15910 
