N	Name	VolumeGB	ReadSp	WriteSp	Price
285654	128Gb SSD Transcend MTE110 (TS128GMTE110S)	128	1600	400	2390
333226	128Gb SSD Gigabyte (GP-GSM2NE3128GNTD)	128	1550	550	3030
308207	128Gb SSD ADATA XPG SX6000 Lite (ASX6000LNP-128GT-C)	128	1800	600	3490
336263	256Gb SSD Silicon Power P34A60 (SP256GBP34A60M28)	256	2200	1600	4050
307900	256Gb SSD ADATA XPG SX6000 Lite (ASX6000LNP-256GT-C)	256	1800	900	4340
285655	256Gb SSD Transcend MTE110 (TS256GMTE110S)	256	1800	800	4440
322895	256Gb SSD Seagate BarraCuda 510 (ZP256CM30041)	256	3100	1050	4650
300332	256Gb SSD ADATA XPG SX6000 Pro (ASX6000PNP-256GT-C)	256	2100	1200	4780
287228	128Gb SSD Intel 760p Series (SSDPEKKW128G801)	128	1640	650	4790
275627	128Gb SSD Intel 760p Series (SSDPEKKW128G8XT)	128	1640	650	4790
333228	256Gb SSD Gigabyte (GP-GSM2NE3256GNTD)	256	1700	1100	4820
345241	256Gb SSD Patriot P300 (P300P256GM28)	256	1700	1100	4940
312996	250Gb SSD Western Digital Black SN750 (WDS250G3X0C)	250	3100	1600	5310
341793	256Gb SSD Hikvision E2000 (HS-SSD-E2000/256G)	256	3100	1300	5320
350041	256Gb SSD GOODRAM PX500 (SSDPR-PX500-256-80)	256	1850	950	5340
341278	256Gb SSD Pioneer APS-SE20G (APS-SE20G-256)	256	3100	1000	5410
308624	256Gb SSD ADATA XPG Gammix S5 (AGAMMIXS5-256GT-C)	256	2100	1200	5450
278882	256Gb SSD Plextor M9PeGN (PX-256M9PeGN)	256	3000	1000	5500
346901	250Gb SSD Kingston A2000 (SA2000M8/250G)	250	2000	1100	5570
304807	256Gb SSD ADATA XPG SX8200 Pro (ASX8200PNP-256GT-C)	256	3350	1150	5570
313139	240Gb SSD Apacer AS2280P4 (AP240GAS2280P4-1)	240	1600	1000	5590
330369	256Gb SSD Micron 2200 (MTFDHBA256TCK-1AS1AABYY)	256	3000	1600	5590
344794	250Gb SSD Western Digital Blue SN550 (WDS250G2B0C)	250	2400	950	5600
278883	256Gb SSD Plextor M9Pe(G) (PX-256M9PeG)	256	3000	1000	5600
